Frame Nummer	FMAC DMA	
1	352502	
2	352071	
3	352109	
4	352106	
5	352101	
6	352108	
7	352105	
8	352109	
9	352107	
10	352109	
11	352106	
12	352108	
13	352106	
14	352109	
15	352105	
16	352104	
17	352105	
18	352109	
19	352106	
20	352109	
21	352104	
22	352100	
23	352105	
24	352108	
25	352107	
26	352109	
27	352107	
28	352108	
29	352100	
30	352108	
31	352108	
32	352105	
33	352108	
34	352100	
35	352105	
36	352107	
37	352105	
38	352110	
39	352104	
40	352107	
41	352100	
42	352105	
43	352107	
44	352106	
45	352100	
46	352106	
47	352108	
48	352106	
49	352109	
50	352104	
Mittelwert	352113,2	352260,08
